,1.0,2.0,3.0,5.0,7.0,10.0,20.0,30.0
2010,4.460309185973619,4.572191173915244,4.665848381876455,4.787698619763611,4.854003278565841,4.906781407700263,4.96910308858187,4.989887800833169
2020,3.7723008675254324,3.9172755297223323,4.017009390323195,4.133238975199755,4.192997247971879,4.239817119697056,4.2949093665025,4.313280012163558
2030,3.5609752307341,3.848393827879869,3.868416422684717,3.756497109318827,3.660019967748193,3.575601598756358,3.4739418186377558,3.4400069755537626
2040,3.085027275157705,3.3582048380151344,3.4124832951787445,3.374015028645246,3.3249539752361508,3.279874413669645,3.225080623720531,3.2067823194547103
2050,2.815529004081579,3.063398385727945,3.161957409560493,3.2220477116987283,3.2371760616096963,3.245453397532114,3.2542513398944757,3.2571704014134744
2060,2.763218383511787,2.9974778485408167,3.1256718141086233,3.2499804391698515,3.306670395174742,3.3494484478001865,3.399353305649023,3.4159875002996203
2070,2.7488982858249353,2.9695562369490154,3.126457452529054,3.3131927895826494,3.410318689284203,3.4866691338508247,3.5765763431762343,3.6065571615292624
2080,2.9359835024435275,3.129184508431317,3.320420767121647,3.5876795791837077,3.7378671351805943,3.8584353032425063,4.001069487589818,4.048643069656631
2090,3.238357511966716,3.424249377828447,3.633620072398965,3.9396422169286485,4.114834491763615,4.256144450739318,4.423488364645143,4.479306177457105
2100,3.5021379513992934,3.6907492139133335,3.9093232644171727,4.231651921382512,4.416834591687517,4.566336241611029,4.7434151713164185,4.802480640349188
